# Power Monitoring Log
#---------------------------------------------------------------------------------------------------------
# Time(s)    | Label                | Type   | Power(W)   | Energy(J)       | Frequency(KHz)  | Voltage(V) 
#---------------------------------------------------------------------------------------------------------
  1.1382     | Run Loop             | INST   | 19.74      | 22.47           | 2365052.00      | 0.00      
  1.2153     | Run Loop             | INST   | 19.68      | 23.92           | 2499999.00      | 0.00      
  1.2920     | Run Loop             | INST   | 19.68      | 25.43           | 2499999.00      | 0.00      
  1.3687     | Run Loop             | INST   | 19.69      | 26.94           | 2499999.00      | 0.00      
  1.4430     | Run Loop             | INST   | 19.72      | 28.46           | 2500000.00      | 0.00      
  1.5172     | Run Loop             | INST   | 19.74      | 29.95           | 2500000.00      | 0.00      
  1.5906     | Run Loop             | INST   | 19.74      | 31.39           | 2500000.00      | 0.00      
  1.6640     | Run Loop             | INST   | 19.74      | 32.84           | 2500001.00      | 0.00      
  1.7374     | Run Loop             | INST   | 19.74      | 34.29           | 2499999.00      | 0.00      
  1.8110     | Run Loop             | INST   | 19.74      | 35.75           | 2500000.00      | 0.00      
  1.9607     | Run Loop             | INST   | 19.74      | 38.71           | 2499998.00      | 0.00      
  2.0376     | Run Loop             | INST   | 19.74      | 40.23           | 2500001.00      | 0.00      
  2.1116     | Run Loop             | INST   | 19.75      | 41.69           | 2499999.00      | 0.00      
  2.1855     | Run Loop             | INST   | 19.74      | 43.15           | 2500000.00      | 0.00      
  2.2597     | Run Loop             | INST   | 19.74      | 44.61           | 2500002.00      | 0.00      
  2.3338     | Run Loop             | INST   | 19.74      | 46.08           | 2499999.00      | 0.00      
  2.4083     | Run Loop             | INST   | 19.74      | 47.55           | 2500000.00      | 0.00      
  2.4828     | Run Loop             | INST   | 19.75      | 49.02           | 2499999.00      | 0.00      
  2.5575     | Run Loop             | INST   | 19.75      | 50.50           | 2500000.00      | 0.00      
  2.6321     | Run Loop             | INST   | 19.75      | 51.97           | 2499999.00      | 0.00      
  3.0072     | Run Loop             | INST   | 19.75      | 59.39           | 2499996.00      | 0.00      
  3.0834     | Run Loop             | INST   | 19.73      | 60.83           | 2499999.00      | 0.00      
  3.1547     | Run Loop             | INST   | 19.73      | 62.24           | 2499998.00      | 0.00      
  3.2261     | Run Loop             | INST   | 19.73      | 63.65           | 2499999.00      | 0.00      
  3.2981     | Run Loop             | INST   | 19.73      | 65.06           | 2499999.00      | 0.00      
  3.3695     | Run Loop             | INST   | 19.73      | 66.48           | 2500002.00      | 0.00      
  3.4407     | Run Loop             | INST   | 19.73      | 67.89           | 2499999.00      | 0.00      
  3.5127     | Run Loop             | INST   | 19.73      | 69.31           | 2499999.00      | 0.00      
  3.5839     | Run Loop             | INST   | 19.73      | 70.72           | 2499999.00      | 0.00      
  3.6550     | Run Loop             | INST   | 19.73      | 72.12           | 2499997.00      | 0.00      
  3.7740     | Run Loop             | INST   | 19.75      | 74.54           | 2499997.00      | 0.00      
  3.8416     | Run Loop             | INST   | 19.75      | 75.88           | 2500000.00      | 0.00      
  3.9103     | Run Loop             | INST   | 19.75      | 77.24           | 2499999.00      | 0.00      
  3.9782     | Run Loop             | INST   | 19.75      | 78.57           | 2500001.00      | 0.00      
  4.0464     | Run Loop             | INST   | 19.75      | 79.92           | 2499999.00      | 0.00      
  4.1151     | Run Loop             | INST   | 19.75      | 81.28           | 2499998.00      | 0.00      
  4.1830     | Run Loop             | INST   | 19.75      | 82.62           | 2499998.00      | 0.00      
  4.2605     | Run Loop             | INST   | 19.75      | 84.15           | 2500001.00      | 0.00      
  4.3286     | Run Loop             | INST   | 19.75      | 85.50           | 2500001.00      | 0.00      
  4.3964     | Run Loop             | INST   | 19.75      | 86.84           | 2499999.00      | 0.00      
  4.7686     | Run Loop             | INST   | 19.75      | 94.19           | 2499997.00      | 0.00      
  4.8355     | Run Loop             | INST   | 19.75      | 95.51           | 2500000.00      | 0.00      
  4.9027     | Run Loop             | INST   | 19.75      | 96.84           | 2499998.00      | 0.00      
  4.9693     | Run Loop             | INST   | 19.75      | 98.16           | 2500000.00      | 0.00      
  5.0364     | Run Loop             | INST   | 19.75      | 99.48           | 2500000.00      | 0.00      
  5.1036     | Run Loop             | INST   | 19.75      | 100.81          | 2500000.00      | 0.00      
  5.1711     | Run Loop             | INST   | 19.75      | 102.13          | 2500000.00      | 0.00      
  5.2381     | Run Loop             | INST   | 19.75      | 103.47          | 2499998.00      | 0.00      
  5.3053     | Run Loop             | INST   | 19.75      | 104.80          | 2500000.00      | 0.00      
  5.3722     | Run Loop             | INST   | 19.75      | 106.12          | 2500001.00      | 0.00      
  5.4889     | Run Loop             | INST   | 19.75      | 108.42          | 2499999.00      | 0.00      
  5.5561     | Run Loop             | INST   | 19.75      | 109.75          | 2500000.00      | 0.00      
  5.6231     | Run Loop             | INST   | 19.75      | 111.07          | 2499999.00      | 0.00      
  5.6902     | Run Loop             | INST   | 19.75      | 112.40          | 2499999.00      | 0.00      
  5.7571     | Run Loop             | INST   | 19.75      | 113.72          | 2500000.00      | 0.00      
  5.8241     | Run Loop             | INST   | 19.75      | 115.05          | 2499995.00      | 0.00      
  5.8914     | Run Loop             | INST   | 19.75      | 116.38          | 2499999.00      | 0.00      
  5.9581     | Run Loop             | INST   | 19.75      | 117.70          | 2500001.00      | 0.00      
  6.0253     | Run Loop             | INST   | 19.75      | 119.02          | 2500000.00      | 0.00      
  6.0926     | Run Loop             | INST   | 19.75      | 120.35          | 2500000.00      | 0.00      
  6.4635     | Run Loop             | INST   | 19.75      | 127.68          | 2499999.00      | 0.00      
  6.5302     | Run Loop             | INST   | 19.75      | 129.00          | 2499998.00      | 0.00      
  6.5970     | Run Loop             | INST   | 19.75      | 130.32          | 2500000.00      | 0.00      
  6.6638     | Run Loop             | INST   | 19.75      | 131.64          | 2499999.00      | 0.00      
  6.7305     | Run Loop             | INST   | 19.75      | 132.96          | 2499998.00      | 0.00      
  6.7972     | Run Loop             | INST   | 19.75      | 134.28          | 2499999.00      | 0.00      
  6.8644     | Run Loop             | INST   | 19.75      | 135.60          | 2499998.00      | 0.00      
  6.9311     | Run Loop             | INST   | 19.75      | 136.92          | 2500008.00      | 0.00      
  6.9979     | Run Loop             | INST   | 19.75      | 138.24          | 2499997.00      | 0.00      
  7.0664     | Run Loop             | INST   | 19.75      | 139.60          | 2500000.00      | 0.00      
  7.1824     | Run Loop             | INST   | 19.75      | 141.89          | 2500001.00      | 0.00      
  7.2490     | Run Loop             | INST   | 19.75      | 143.20          | 2500001.00      | 0.00      
