# Power Monitoring Log
#---------------------------------------------------------------------------------------------------------
# Time(s)    | Label                | Type   | Power(W)   | Energy(J)       | Frequency(KHz)  | Voltage(V) 
#---------------------------------------------------------------------------------------------------------
  1.0402     | Run Loop             | INST   | 19.73      | 20.52           | 1453166.00      | 0.00      
  1.1531     | Run Loop             | INST   | 19.63      | 22.63           | 1500003.00      | 0.00      
  1.2654     | Run Loop             | INST   | 19.64      | 24.85           | 1500000.00      | 0.00      
  1.3728     | Run Loop             | INST   | 19.72      | 27.07           | 1499999.00      | 0.00      
  1.4801     | Run Loop             | INST   | 19.72      | 29.19           | 1499999.00      | 0.00      
  1.5929     | Run Loop             | INST   | 19.73      | 31.42           | 1500000.00      | 0.00      
  1.7001     | Run Loop             | INST   | 19.73      | 33.54           | 1499999.00      | 0.00      
  1.8073     | Run Loop             | INST   | 19.73      | 35.66           | 1500000.00      | 0.00      
  1.9147     | Run Loop             | INST   | 19.73      | 37.78           | 1500000.00      | 0.00      
  2.0219     | Run Loop             | INST   | 19.73      | 39.90           | 1499997.00      | 0.00      
  2.2181     | Run Loop             | INST   | 19.74      | 43.78           | 1499998.00      | 0.00      
  2.3255     | Run Loop             | INST   | 19.74      | 45.90           | 1500007.00      | 0.00      
  2.4334     | Run Loop             | INST   | 19.74      | 48.03           | 1499999.00      | 0.00      
  2.5415     | Run Loop             | INST   | 19.74      | 50.17           | 1500006.00      | 0.00      
  2.6505     | Run Loop             | INST   | 19.74      | 52.32           | 1499999.00      | 0.00      
  2.7592     | Run Loop             | INST   | 19.74      | 54.47           | 1500000.00      | 0.00      
  2.8683     | Run Loop             | INST   | 19.74      | 56.62           | 1499999.00      | 0.00      
  2.9778     | Run Loop             | INST   | 19.74      | 58.79           | 1499998.00      | 0.00      
  3.0869     | Run Loop             | INST   | 19.74      | 60.94           | 1500000.00      | 0.00      
  3.1960     | Run Loop             | INST   | 19.74      | 63.10           | 1500002.00      | 0.00      
  3.7843     | Run Loop             | INST   | 19.74      | 74.71           | 1500001.00      | 0.00      
  3.8825     | Run Loop             | INST   | 19.75      | 76.66           | 1500000.00      | 0.00      
  3.9806     | Run Loop             | INST   | 19.75      | 78.60           | 1500001.00      | 0.00      
