# Power Monitoring Log
#---------------------------------------------------------------------------------------------------------
# Time(s)    | Label                | Type   | Power(W)   | Energy(J)       | Frequency(KHz)  | Voltage(V) 
#---------------------------------------------------------------------------------------------------------
  1.0217     | Run Loop             | INST   | 19.74      | 20.17           | 2913468.00      | 0.00      
  1.1125     | Run Loop             | INST   | 19.69      | 21.90           | 2974299.00      | 0.00      
  1.1795     | Run Loop             | INST   | 19.69      | 23.22           | 3000000.00      | 0.00      
  1.2468     | Run Loop             | INST   | 19.69      | 24.55           | 3000000.00      | 0.00      
  1.3116     | Run Loop             | INST   | 19.74      | 25.89           | 2999999.00      | 0.00      
  1.3760     | Run Loop             | INST   | 19.74      | 27.16           | 3000000.00      | 0.00      
  1.4405     | Run Loop             | INST   | 19.74      | 28.43           | 3000003.00      | 0.00      
  1.5050     | Run Loop             | INST   | 19.74      | 29.71           | 2999999.00      | 0.00      
  1.5711     | Run Loop             | INST   | 19.74      | 31.01           | 2999999.00      | 0.00      
  1.6614     | Run Loop             | INST   | 19.75      | 32.81           | 2985544.00      | 0.00      
  1.7709     | Run Loop             | INST   | 19.75      | 34.97           | 2999999.00      | 0.00      
  1.8357     | Run Loop             | INST   | 19.74      | 36.24           | 3000000.00      | 0.00      
  1.9004     | Run Loop             | INST   | 19.75      | 37.53           | 3000000.00      | 0.00      
  1.9650     | Run Loop             | INST   | 19.74      | 38.80           | 3000000.00      | 0.00      
  2.0297     | Run Loop             | INST   | 19.74      | 40.08           | 2999999.00      | 0.00      
  2.0949     | Run Loop             | INST   | 19.75      | 41.36           | 3000000.00      | 0.00      
  2.1598     | Run Loop             | INST   | 19.75      | 42.65           | 2999999.00      | 0.00      
  2.2249     | Run Loop             | INST   | 19.75      | 43.93           | 2999999.00      | 0.00      
  2.2904     | Run Loop             | INST   | 19.75      | 45.23           | 3000000.00      | 0.00      
  2.3556     | Run Loop             | INST   | 19.75      | 46.51           | 2999999.00      | 0.00      
  2.6710     | Run Loop             | INST   | 19.75      | 52.75           | 3000000.00      | 0.00      
  2.7318     | Run Loop             | INST   | 19.75      | 53.95           | 2999999.00      | 0.00      
  2.7916     | Run Loop             | INST   | 19.75      | 55.13           | 2999999.00      | 0.00      
  2.8513     | Run Loop             | INST   | 19.75      | 56.31           | 3000000.00      | 0.00      
  2.9113     | Run Loop             | INST   | 19.75      | 57.50           | 3000002.00      | 0.00      
  2.9709     | Run Loop             | INST   | 19.75      | 58.67           | 2999999.00      | 0.00      
  3.0307     | Run Loop             | INST   | 19.75      | 59.86           | 3000000.00      | 0.00      
  3.0905     | Run Loop             | INST   | 19.75      | 61.04           | 3000001.00      | 0.00      
  3.1500     | Run Loop             | INST   | 19.75      | 62.22           | 3000000.00      | 0.00      
  3.2097     | Run Loop             | INST   | 19.75      | 63.39           | 3000003.00      | 0.00      
  3.3115     | Run Loop             | INST   | 19.75      | 65.40           | 2999999.00      | 0.00      
  3.3712     | Run Loop             | INST   | 19.75      | 66.58           | 2999996.00      | 0.00      
  3.4307     | Run Loop             | INST   | 19.75      | 67.76           | 2999997.00      | 0.00      
  3.4950     | Run Loop             | INST   | 19.75      | 69.03           | 3000000.00      | 0.00      
  3.5546     | Run Loop             | INST   | 19.75      | 70.21           | 2999999.00      | 0.00      
  3.6141     | Run Loop             | INST   | 19.75      | 71.38           | 3000000.00      | 0.00      
  3.6739     | Run Loop             | INST   | 19.75      | 72.56           | 2999999.00      | 0.00      
