# Power Monitoring Log
#---------------------------------------------------------------------------------------------------------
# Time(s)    | Label                | Type   | Power(W)   | Energy(J)       | Frequency(KHz)  | Voltage(V) 
#---------------------------------------------------------------------------------------------------------
  1.1046     | Run Loop             | INST   | 19.74      | 21.81           | 3366077.00      | 0.00      
  6.9104     | Run Loop             | INST   | 19.76      | 136.52          | 3299999.00      | 0.00      
  6.9660     | Run Loop             | INST   | 19.76      | 137.62          | 3300000.00      | 0.00      
  7.0215     | Run Loop             | INST   | 19.76      | 138.72          | 3299999.00      | 0.00      
  7.0770     | Run Loop             | INST   | 19.76      | 139.81          | 3296770.00      | 0.00      
  7.1326     | Run Loop             | INST   | 19.76      | 140.91          | 3287722.00      | 0.00      
  7.1882     | Run Loop             | INST   | 19.76      | 142.01          | 3289358.00      | 0.00      
  7.2436     | Run Loop             | INST   | 19.76      | 143.11          | 3286078.00      | 0.00      
  7.2993     | Run Loop             | INST   | 19.76      | 144.20          | 3286603.00      | 0.00      
  7.3933     | Run Loop             | INST   | 19.76      | 146.06          | 3234655.00      | 0.00      
  7.4491     | Run Loop             | INST   | 19.76      | 147.16          | 3288797.00      | 0.00      
  7.5047     | Run Loop             | INST   | 19.76      | 148.26          | 3296541.00      | 0.00      
  7.5603     | Run Loop             | INST   | 19.76      | 149.36          | 3289035.00      | 0.00      
  7.6159     | Run Loop             | INST   | 19.76      | 150.46          | 3291376.00      | 0.00      
  7.6714     | Run Loop             | INST   | 19.76      | 151.56          | 3277137.00      | 0.00      
  7.7274     | Run Loop             | INST   | 19.76      | 152.66          | 3290764.00      | 0.00      
  7.7833     | Run Loop             | INST   | 19.76      | 153.76          | 3299999.00      | 0.00      
  7.8392     | Run Loop             | INST   | 19.76      | 154.87          | 3299999.00      | 0.00      
  7.8953     | Run Loop             | INST   | 19.76      | 155.97          | 3287656.00      | 0.00      
