# Power Monitoring Log
#---------------------------------------------------------------------------------------------------------
# Time(s)    | Label                | Type   | Power(W)   | Energy(J)       | Frequency(KHz)  | Voltage(V) 
#---------------------------------------------------------------------------------------------------------
  1.1046     | Run Loop             | INST   | 19.74      | 21.81           | 3366077.00      | 0.00      
  1.1662     | Run Loop             | INST   | 19.74      | 23.02           | 3300000.00      | 0.00      
  1.2270     | Run Loop             | INST   | 19.73      | 24.21           | 3299999.00      | 0.00      
  1.2875     | Run Loop             | INST   | 19.74      | 25.41           | 3299999.00      | 0.00      
  1.3478     | Run Loop             | INST   | 19.74      | 26.60           | 3300001.00      | 0.00      
  1.4098     | Run Loop             | INST   | 19.74      | 27.83           | 3300000.00      | 0.00      
  1.4704     | Run Loop             | INST   | 19.74      | 29.02           | 3300000.00      | 0.00      
  1.5314     | Run Loop             | INST   | 19.74      | 30.22           | 3299999.00      | 0.00      
  1.5922     | Run Loop             | INST   | 19.74      | 31.42           | 3300000.00      | 0.00      
  1.6531     | Run Loop             | INST   | 19.74      | 32.63           | 3299999.00      | 0.00      
  1.7562     | Run Loop             | INST   | 19.74      | 34.66           | 3299999.00      | 0.00      
  1.8171     | Run Loop             | INST   | 19.74      | 35.87           | 3299997.00      | 0.00      
  1.8789     | Run Loop             | INST   | 19.74      | 37.09           | 3300000.00      | 0.00      
  1.9403     | Run Loop             | INST   | 19.74      | 38.30           | 3299999.00      | 0.00      
  2.0014     | Run Loop             | INST   | 19.75      | 39.52           | 3299999.00      | 0.00      
  2.0625     | Run Loop             | INST   | 19.75      | 40.73           | 3299999.00      | 0.00      
  2.1239     | Run Loop             | INST   | 19.75      | 41.94           | 3299998.00      | 0.00      
  2.1853     | Run Loop             | INST   | 19.75      | 43.15           | 3299999.00      | 0.00      
  2.2467     | Run Loop             | INST   | 19.75      | 44.37           | 3300000.00      | 0.00      
  2.3083     | Run Loop             | INST   | 19.75      | 45.58           | 3300003.00      | 0.00      
  2.6006     | Run Loop             | INST   | 19.75      | 51.36           | 3299999.00      | 0.00      
  2.6576     | Run Loop             | INST   | 19.75      | 52.48           | 3300006.00      | 0.00      
  2.7146     | Run Loop             | INST   | 19.75      | 53.60           | 3299999.00      | 0.00      
  2.7715     | Run Loop             | INST   | 19.75      | 54.73           | 3299999.00      | 0.00      
  2.8284     | Run Loop             | INST   | 19.75      | 55.85           | 3299997.00      | 0.00      
  2.8854     | Run Loop             | INST   | 19.75      | 56.98           | 3299999.00      | 0.00      
  2.9423     | Run Loop             | INST   | 19.75      | 58.10           | 3299999.00      | 0.00      
  2.9993     | Run Loop             | INST   | 19.75      | 59.23           | 3300001.00      | 0.00      
  3.0562     | Run Loop             | INST   | 19.75      | 60.35           | 3299999.00      | 0.00      
  3.1129     | Run Loop             | INST   | 19.75      | 61.48           | 3299995.00      | 0.00      
  3.2079     | Run Loop             | INST   | 19.75      | 63.36           | 3299999.00      | 0.00      
  3.2643     | Run Loop             | INST   | 19.75      | 64.48           | 3299999.00      | 0.00      
  3.3208     | Run Loop             | INST   | 19.75      | 65.59           | 3300007.00      | 0.00      
  3.3773     | Run Loop             | INST   | 19.75      | 66.70           | 3300000.00      | 0.00      
  3.4337     | Run Loop             | INST   | 19.75      | 67.82           | 3299999.00      | 0.00      
  3.4902     | Run Loop             | INST   | 19.75      | 68.94           | 3300000.00      | 0.00      
  3.5477     | Run Loop             | INST   | 19.75      | 70.07           | 3299999.00      | 0.00      
  3.6047     | Run Loop             | INST   | 19.75      | 71.19           | 3299999.00      | 0.00      
  3.6616     | Run Loop             | INST   | 19.75      | 72.32           | 3299999.00      | 0.00      
  3.7190     | Run Loop             | INST   | 19.75      | 73.45           | 3299999.00      | 0.00      
  4.0089     | Run Loop             | INST   | 19.75      | 79.18           | 3299999.00      | 0.00      
  4.0655     | Run Loop             | INST   | 19.75      | 80.30           | 3299999.00      | 0.00      
  4.1222     | Run Loop             | INST   | 19.75      | 81.42           | 3300000.00      | 0.00      
  4.1783     | Run Loop             | INST   | 19.75      | 82.53           | 3300000.00      | 0.00      
  4.2341     | Run Loop             | INST   | 19.75      | 83.64           | 3299999.00      | 0.00      
  4.2898     | Run Loop             | INST   | 19.75      | 84.74           | 3299999.00      | 0.00      
  4.3465     | Run Loop             | INST   | 19.75      | 85.86           | 3299999.00      | 0.00      
  4.4023     | Run Loop             | INST   | 19.75      | 86.96           | 3300002.00      | 0.00      
  4.4582     | Run Loop             | INST   | 19.75      | 88.07           | 3299998.00      | 0.00      
  4.5145     | Run Loop             | INST   | 19.75      | 89.18           | 3300000.00      | 0.00      
  4.6090     | Run Loop             | INST   | 19.75      | 91.04           | 3242547.00      | 0.00      
  4.6652     | Run Loop             | INST   | 19.75      | 92.15           | 3287348.00      | 0.00      
  4.7211     | Run Loop             | INST   | 19.75      | 93.26           | 3299997.00      | 0.00      
  4.7770     | Run Loop             | INST   | 19.75      | 94.36           | 3292946.00      | 0.00      
  4.8328     | Run Loop             | INST   | 19.75      | 95.47           | 3299999.00      | 0.00      
  4.8887     | Run Loop             | INST   | 19.75      | 96.57           | 3300000.00      | 0.00      
  4.9447     | Run Loop             | INST   | 19.75      | 97.68           | 3300002.00      | 0.00      
  5.0007     | Run Loop             | INST   | 19.75      | 98.78           | 3292459.00      | 0.00      
  5.0569     | Run Loop             | INST   | 19.75      | 99.89           | 3294314.00      | 0.00      
  5.1132     | Run Loop             | INST   | 19.75      | 101.00          | 3299999.00      | 0.00      
  5.4044     | Run Loop             | INST   | 19.75      | 106.75          | 3229353.00      | 0.00      
  5.4609     | Run Loop             | INST   | 19.75      | 107.87          | 3299996.00      | 0.00      
  5.5172     | Run Loop             | INST   | 19.75      | 108.98          | 3299995.00      | 0.00      
  5.5732     | Run Loop             | INST   | 19.75      | 110.09          | 3299997.00      | 0.00      
  5.6292     | Run Loop             | INST   | 19.75      | 111.20          | 3299998.00      | 0.00      
  5.6892     | Run Loop             | INST   | 19.75      | 112.38          | 3299999.00      | 0.00      
  5.7449     | Run Loop             | INST   | 19.75      | 113.49          | 3299997.00      | 0.00      
  5.8006     | Run Loop             | INST   | 19.75      | 114.59          | 3299999.00      | 0.00      
  5.8563     | Run Loop             | INST   | 19.75      | 115.69          | 3300000.00      | 0.00      
  5.9120     | Run Loop             | INST   | 19.75      | 116.79          | 3291826.00      | 0.00      
  6.0062     | Run Loop             | INST   | 19.75      | 118.65          | 3242076.00      | 0.00      
  6.0623     | Run Loop             | INST   | 19.76      | 119.76          | 3295568.00      | 0.00      
  6.1184     | Run Loop             | INST   | 19.76      | 120.87          | 3291850.00      | 0.00      
  6.1740     | Run Loop             | INST   | 19.76      | 121.97          | 3299999.00      | 0.00      
  6.2295     | Run Loop             | INST   | 19.76      | 123.07          | 3300003.00      | 0.00      
  6.2852     | Run Loop             | INST   | 19.76      | 124.17          | 3300001.00      | 0.00      
  6.3409     | Run Loop             | INST   | 19.76      | 125.27          | 3292460.00      | 0.00      
  6.3966     | Run Loop             | INST   | 19.76      | 126.37          | 3291682.00      | 0.00      
  6.4522     | Run Loop             | INST   | 19.76      | 127.47          | 3299999.00      | 0.00      
  6.5080     | Run Loop             | INST   | 19.76      | 128.57          | 3283831.00      | 0.00      
  6.7988     | Run Loop             | INST   | 19.76      | 134.31          | 3236114.00      | 0.00      
  6.8548     | Run Loop             | INST   | 19.76      | 135.42          | 3291868.00      | 0.00      
