# Power Monitoring Log
#---------------------------------------------------------------------------------------------------------
# Time(s)    | Label                | Type   | Power(W)   | Energy(J)       | Frequency(KHz)  | Voltage(V) 
#---------------------------------------------------------------------------------------------------------
  8.0755     | Run Loop             | INST   | 19.75      | 159.53          | 2000001.00      | 0.00      
  8.1528     | Run Loop             | INST   | 19.75      | 161.06          | 1999999.00      | 0.00      
  8.2302     | Run Loop             | INST   | 19.75      | 162.59          | 2000000.00      | 0.00      
  8.3075     | Run Loop             | INST   | 19.75      | 164.11          | 2000000.00      | 0.00      
  8.3849     | Run Loop             | INST   | 19.75      | 165.64          | 2000001.00      | 0.00      
  8.4623     | Run Loop             | INST   | 19.75      | 167.17          | 1999999.00      | 0.00      
  8.5398     | Run Loop             | INST   | 19.75      | 168.70          | 1999997.00      | 0.00      
  8.6170     | Run Loop             | INST   | 19.76      | 170.23          | 2000004.00      | 0.00      
  8.6946     | Run Loop             | INST   | 19.76      | 171.76          | 1999999.00      | 0.00      
  8.7721     | Run Loop             | INST   | 19.76      | 173.29          | 2000000.00      | 0.00      
  9.2200     | Run Loop             | INST   | 19.76      | 182.15          | 2000001.00      | 0.00      
  9.2970     | Run Loop             | INST   | 19.76      | 183.67          | 2000000.00      | 0.00      
  9.3745     | Run Loop             | INST   | 19.76      | 185.20          | 1999998.00      | 0.00      
  9.4516     | Run Loop             | INST   | 19.76      | 186.72          | 2000001.00      | 0.00      
  9.5289     | Run Loop             | INST   | 19.76      | 188.25          | 1999999.00      | 0.00      
  9.6059     | Run Loop             | INST   | 19.76      | 189.77          | 1999999.00      | 0.00      
  9.6830     | Run Loop             | INST   | 19.76      | 191.29          | 1999999.00      | 0.00      
  9.7603     | Run Loop             | INST   | 19.76      | 192.82          | 2000001.00      | 0.00      
  9.8373     | Run Loop             | INST   | 19.76      | 194.34          | 2000007.00      | 0.00      
  9.9149     | Run Loop             | INST   | 19.75      | 195.86          | 1999999.00      | 0.00      
  10.0521    | Run Loop             | INST   | 19.76      | 198.59          | 2000000.00      | 0.00      
  10.1288    | Run Loop             | INST   | 19.76      | 200.11          | 2000003.00      | 0.00      
  10.2061    | Run Loop             | INST   | 19.76      | 201.63          | 1999999.00      | 0.00      
  10.2831    | Run Loop             | INST   | 19.76      | 203.15          | 1999999.00      | 0.00      
  10.3607    | Run Loop             | INST   | 19.76      | 204.68          | 1999999.00      | 0.00      
  10.4380    | Run Loop             | INST   | 19.76      | 206.21          | 1999998.00      | 0.00      
  10.5147    | Run Loop             | INST   | 19.76      | 207.73          | 1999999.00      | 0.00      
  10.5916    | Run Loop             | INST   | 19.76      | 209.25          | 2000001.00      | 0.00      
  10.6687    | Run Loop             | INST   | 19.76      | 210.77          | 2000004.00      | 0.00      
  10.7461    | Run Loop             | INST   | 19.76      | 212.30          | 1999992.00      | 0.00      
